name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN0378,DrkN,279.2195,-15.9571,0.088,3,380,
LDN0379,DrkN,277.7155,-15.1310,0.181,4,381,312
LDN0380,DrkN,275.7098,-13.9740,0.258,4,382,
LDN0381,DrkN,279.3437,-15.7899,0.005,4,383,
LDN0382,DrkN,266.9348,-9.0165,0.219,4,384,
LDN0383,DrkN,270.6949,-10.9983,0.754,3,385,
LDN0384,DrkN,270.6936,-10.7483,7.160,1,386,
LDN0385,DrkN,278.7139,-14.8429,0.011,3,387,
LDN0386,DrkN,273.1999,-11.9862,18.700,3,388,
LDN0387,DrkN,259.6600,-4.0515,0.548,2,389,
LDN0388,DrkN,278.2107,-14.2120,5.890,1,390,
LDN0389,DrkN,278.2103,-14.1286,0.121,3,391,
LDN0390,DrkN,278.9619,-14.4583,0.147,3,392,
LDN0392,DrkN,268.4324,-8.5093,0.010,5,393,
LDN0391,DrkN,258.9052,-3.0551,0.393,3,394,
LDN0393,DrkN,266.1757,-7.1869,20.000,2,395,
LDN0394,DrkN,275.4509,-12.2252,1.500,1,396,
LDN0395,DrkN,279.7100,-14.1214,0.416,3,397,
LDN0396,DrkN,278.0057,-13.2129,0.004,3,398,
LDN0398,DrkN,278.2061,-13.2953,0.011,3,399,
LDN0397,DrkN,270.6865,-9.3317,0.283,4,400,
LDN0399,DrkN,276.7020,-12.4692,1.050,1,401,
LDN0400,DrkN,268.9312,-8.2568,0.095,4,402,
LDN0401,DrkN,279.5333,-13.7889,0.007,5,403,102
LDN0402,DrkN,277.4532,-12.7156,0.006,5,404,
LDN0403,DrkN,279.2067,-13.4572,0.011,4,405,
LDN0404,DrkN,277.4519,-12.4656,0.013,2,406,
LDN0405,DrkN,275.6971,-11.4740,10.500,3,407,
LDN0406,DrkN,276.4487,-11.8038,0.746,5,408,95
LDN0407,DrkN,278.7043,-12.9596,0.339,2,409,
LDN0408,DrkN,272.6873,-9.4886,0.474,4,410,
LDN0409,DrkN,280.4565,-13.4512,1.460,4,411,
LDN0410,DrkN,280.7064,-13.4500,5.000,3,412,
LDN0411,DrkN,276.9470,-11.4680,0.010,5,413,
LDN0412,DrkN,277.9493,-11.9632,0.018,4,414,
LDN0413,DrkN,276.6458,-11.2195,0.010,5,415,
LDN0414,DrkN,276.0689,-10.8389,0.010,5,416,
LDN0415,DrkN,276.1929,-10.6383,0.140,4,417,96  94
LDN0416,DrkN,276.3179,-10.6377,0.005,6,418,
LDN0417,DrkN,276.3177,-10.6044,0.003,5,419,
LDN0418,DrkN,273.6856,-9.1504,0.160,3,420,
LDN0419,DrkN,273.1831,-8.6529,0.108,4,421,
LDN0420,DrkN,276.4412,-10.3038,0.010,5,422,
LDN0421,DrkN,268.5691,-5.8086,0.020,5,423,
LDN0422,DrkN,272.9307,-8.1541,0.007,6,424,
LDN0423,DrkN,276.9407,-10.2180,0.012,5,425,
LDN0424,DrkN,273.6823,-8.4838,0.131,3,426,
LDN0425,DrkN,266.7135,-4.6842,0.017,5,427,
LDN0426,DrkN,272.8797,-7.9543,0.001,3,428,
LDN0427,DrkN,276.6887,-9.8026,0.004,5,429,
LDN0428,DrkN,266.9127,-4.5166,0.370,3,430,
LDN0429,DrkN,274.1814,-8.3147,0.068,6,431,
LDN0430,DrkN,272.9280,-7.6208,0.003,5,432,
LDN0431,DrkN,273.4290,-7.8183,0.093,4,433,
LDN0432,DrkN,269.6688,-5.7532,0.008,6,434,
LDN0434,DrkN,280.6964,-11.4500,1.110,4,435,
LDN0433,DrkN,280.6964,-11.4500,1.710,1,436,
LDN0435,DrkN,278.1893,-9.9620,8.400,4,437,97
LDN0436,DrkN,273.6769,-7.4005,0.006,6,438,
LDN0437,DrkN,275.0547,-7.9771,0.163,5,439,
LDN0438,DrkN,273.5507,-7.1511,0.008,6,440,
LDN0439,DrkN,269.9151,-5.0020,0.181,3,441,
LDN0440,DrkN,274.9273,-7.4777,0.014,4,442,
LDN0441,DrkN,270.9168,-5.3305,2.560,2,443,
LDN0442,DrkN,269.4127,-4.5045,0.014,4,444,
LDN0443,DrkN,278.1852,-9.1287,0.045,5,445,100 101
LDN0445,DrkN,279.4375,-9.6227,0.086,5,446,314
LDN0444,DrkN,270.6651,-4.9984,1.030,4,447,
LDN0446,DrkN,277.6828,-8.6311,0.140,4,448,
LDN0447,DrkN,273.9232,-6.6492,0.546,4,449,
LDN0448,DrkN,279.1859,-9.2905,0.027,4,450,
LDN0449,DrkN,282.9443,-11.1060,0.050,2,451,
LDN0450,DrkN,278.1827,-8.6287,0.048,4,452,
LDN0451,DrkN,275.4256,-7.1420,0.022,5,453,
LDN0452,DrkN,284.1964,-11.6000,1.270,3,454,
LDN0453,DrkN,276.1772,-7.4717,2.430,3,455,
LDN0454,DrkN,277.1796,-7.9668,0.140,4,456,
LDN0455,DrkN,279.4350,-9.1227,0.018,5,457,
LDN0458,DrkN,284.1956,-11.4334,1.270,3,458,
LDN0456,DrkN,283.1934,-10.9381,0.032,3,459,321
LDN0459,DrkN,280.6873,-9.6167,3.000,3,460,
LDN0460,DrkN,269.6590,-3.7533,0.006,6,461,
LDN0461,DrkN,272.4159,-5.1565,0.117,4,462,
LDN0463,DrkN,277.9295,-7.9632,1.000,3,463,
LDN0462,DrkN,271.6635,-4.6602,0.041,6,464,
LDN0464,DrkN,283.1918,-10.6048,0.034,3,465,
LDN0466,DrkN,274.9207,-6.1444,0.012,6,466,
LDN0467,DrkN,274.7449,-5.9786,0.006,5,467,
LDN0468,DrkN,270.1578,-3.5008,0.016,5,468,
LDN0469,DrkN,273.3656,-5.1019,0.003,5,469,
LDN0470,DrkN,274.6687,-5.7290,0.007,6,470,
LDN0471,DrkN,274.9191,-5.8111,0.056,4,471,
LDN0472,DrkN,273.5401,-4.9844,0.032,4,472,
LDN0473,DrkN,279.4293,-7.9560,0.224,3,473,
LDN0474,DrkN,282.9373,-9.6893,1.760,1,474,
LDN0475,DrkN,274.7925,-5.4784,0.029,4,475,
LDN0476,DrkN,274.6671,-5.3956,0.004,3,476,
LDN0477,DrkN,274.7921,-5.3950,0.006,3,477,
LDN0478,DrkN,273.1626,-4.4862,0.104,4,478,
LDN0479,DrkN,274.7908,-5.1450,0.003,5,479,
