name,type,ra_deg,dec_deg,area_sqdeg,opacity,sequence,related_barnard
LDN0704,DrkN,291.7025,13.7683,0.097,6,704,
LDN0705,DrkN,294.2099,12.4462,0.086,4,705,337
LDN0706,DrkN,275.0302,21.7565,0.008,4,706,
LDN0707,DrkN,297.1657,11.4591,0.024,5,707,340
LDN0708,DrkN,285.5559,17.5733,0.020,3,708,
LDN0709,DrkN,288.5631,16.4207,0.002,6,709,
LDN0710,DrkN,285.5534,18.0733,0.045,3,710,
LDN0711,DrkN,285.5534,18.0733,6.000,1,711,
LDN0712,DrkN,284.8005,18.5698,0.865,2,712,
LDN0713,DrkN,288.0595,17.0850,4.000,3,713,
LDN0714,DrkN,288.0553,17.9183,0.009,4,714,
LDN0715,DrkN,286.2985,19.0768,0.115,3,715,
LDN0716,DrkN,290.8109,17.0976,14.000,4,716,
LDN0717,DrkN,289.0554,18.0063,0.147,5,717,
LDN0718,DrkN,288.0519,18.5850,0.524,4,718,
LDN0719,DrkN,285.7948,19.7412,0.088,2,719,
LDN0720,DrkN,294.3208,15.4467,7.000,2,720,
LDN0721,DrkN,292.8140,16.6900,19.000,3,721,
LDN0722,DrkN,291.0543,18.4321,0.023,5,722,
LDN0723,DrkN,289.5494,19.2252,0.010,5,723,
LDN0724,DrkN,288.0441,20.0850,6.000,2,724,
LDN0725,DrkN,292.0562,18.1699,0.005,5,725,
LDN0726,DrkN,296.5697,15.9566,0.030,1,726,
LDN0727,DrkN,292.8062,18.2733,0.018,4,727,
LDN0728,DrkN,287.2884,21.0815,1.000,1,728,
LDN0729,DrkN,295.0875,17.2834,0.023,5,729,
LDN0730,DrkN,290.0461,19.9275,0.023,5,730,
LDN0731,DrkN,294.5605,17.6145,0.270,4,731,
LDN0732,DrkN,289.9197,20.1769,0.018,5,732,
LDN0733,DrkN,296.0639,17.1211,0.398,2,733,
LDN0734,DrkN,287.0329,22.0803,0.660,2,734,
LDN0735,DrkN,290.5438,20.4298,0.019,5,735,
LDN0736,DrkN,288.5365,21.5873,0.660,2,736,
LDN0737,DrkN,295.0576,18.2833,0.077,4,737,
LDN0738,DrkN,290.2910,20.9286,0.062,2,738,
LDN0739,DrkN,291.0432,20.5987,0.384,3,739,
LDN0740,DrkN,292.0465,20.1032,3.800,2,740,
LDN0741,DrkN,290.2902,21.0953,7.000,4,741,
LDN0742,DrkN,293.2998,19.6089,0.047,4,742,
LDN0743,DrkN,294.6040,18.9480,0.014,4,743,
LDN0744,DrkN,289.8631,21.4267,0.027,4,744,
LDN0745,DrkN,297.0614,17.7921,0.490,2,745,
LDN0746,DrkN,290.5393,21.2964,0.035,4,746,
LDN0747,DrkN,295.3049,18.8678,0.017,4,747,
LDN0748,DrkN,291.2908,21.0998,0.570,2,748,
LDN0749,DrkN,288.7821,22.4217,0.295,3,749,
LDN0750,DrkN,289.5344,22.0918,8.000,2,750,
LDN0751,DrkN,290.2617,21.7452,0.003,4,751,
LDN0752,DrkN,294.7262,19.5319,0.012,4,752,
LDN0753,DrkN,297.0590,18.2921,0.005,5,753,
LDN0754,DrkN,296.8068,18.7077,0.008,4,754,
LDN0755,DrkN,291.7894,21.4354,0.167,3,755,
LDN0756,DrkN,291.9145,21.4360,0.007,4,756,
LDN0758,DrkN,296.6805,18.9571,0.029,5,757,
LDN0757,DrkN,295.5516,19.5688,0.033,4,758,
LDN0759,DrkN,287.5222,24.0826,0.358,1,759,
LDN0760,DrkN,292.5378,21.8555,0.010,3,760,
LDN0761,DrkN,294.0427,21.1122,0.116,5,761,
LDN0762,DrkN,289.9789,23.1772,0.010,4,762,
LDN0763,DrkN,289.6523,23.4257,0.008,6,763,
LDN0764,DrkN,289.7774,23.4263,0.079,3,764,
LDN0765,DrkN,296.0484,20.2877,0.040,4,765,
LDN0766,DrkN,297.3027,19.6265,1.040,2,766,
LDN0767,DrkN,291.2820,22.7665,0.201,3,767,
LDN0769,DrkN,291.0301,23.0987,0.016,6,768,
LDN0768,DrkN,292.0335,22.6032,0.111,4,769,
LDN0770,DrkN,293.0368,22.1077,0.344,2,770,
LDN0771,DrkN,290.1771,23.5281,0.005,6,771,
LDN0772,DrkN,291.2802,23.0998,0.068,4,772,
LDN0773,DrkN,290.6280,23.4302,0.004,4,773,
LDN0774,DrkN,290.7280,23.4306,0.002,5,774,
LDN0775,DrkN,290.9032,23.4314,0.025,4,775,
LDN0776,DrkN,293.7874,22.1111,0.529,2,776,
LDN0777,DrkN,288.0170,25.0849,0.226,1,777,
LDN0778,DrkN,291.7775,23.6854,0.043,6,778,
LDN0779,DrkN,292.5298,23.3555,0.140,3,779,
LDN0780,DrkN,288.5154,25.4205,0.127,2,780,
LDN0781,DrkN,292.0272,23.7699,0.047,3,781,
LDN0782,DrkN,292.0263,23.9365,0.010,5,782,
LDN0783,DrkN,291.7752,24.1021,0.050,3,783,
LDN0784,DrkN,292.2756,24.1043,0.391,2,784,
LDN0785,DrkN,293.5267,24.1099,0.007,3,785,
LDN0786,DrkN,292.8993,24.4405,0.038,3,786,
LDN0787,DrkN,298.2912,22.1308,24.000,2,787,
LDN0788,DrkN,293.3980,24.7760,0.007,3,788,
LDN0789,DrkN,297.4078,23.6270,0.014,3,789,
LDN0790,DrkN,293.7683,25.6944,0.005,4,790,
LDN0791,DrkN,297.4061,23.9603,0.095,4,791,
LDN0792,DrkN,294.2688,25.6966,0.145,4,792,
LDN0793,DrkN,294.8957,25.4494,0.066,3,793,
LDN0795,DrkN,294.2637,26.6132,0.278,1,794,
LDN0794,DrkN,294.2637,26.6132,0.278,1,795,
LDN0796,DrkN,296.0168,26.3710,0.014,4,796,
LDN0797,DrkN,301.4127,23.4773,0.013,3,797,
LDN0798,DrkN,296.7690,26.1242,2.500,3,798,
LDN0799,DrkN,295.6383,26.9526,0.026,4,799,
LDN0800,DrkN,296.0146,26.7876,0.036,4,800,
LDN0801,DrkN,300.8579,24.3083,0.041,3,801,
LDN0802,DrkN,299.9285,24.9711,0.005,4,802,
LDN0803,DrkN,295.5864,27.2858,0.019,4,803,
LDN0804,DrkN,295.7117,27.2530,0.018,4,804,
LDN0805,DrkN,300.4052,24.7564,0.005,4,805,
LDN0806,DrkN,296.0878,27.1213,0.006,4,806,
LDN0807,DrkN,295.9112,27.3705,0.025,4,807,
LDN0808,DrkN,296.2621,27.2887,0.014,4,808,
LDN0809,DrkN,301.0289,25.1424,2.200,1,809,
LDN0810,DrkN,296.2584,27.9554,0.047,4,810,
LDN0811,DrkN,295.0018,28.8665,0.253,1,811,
LDN0812,DrkN,296.2551,28.5387,0.145,3,812,
LDN0813,DrkN,295.7512,29.1198,0.224,3,813,
LDN0814,DrkN,301.0207,26.7257,0.032,3,814,
LDN0815,DrkN,296.7524,29.1242,2.320,3,815,
LDN0816,DrkN,293.9909,30.5287,0.025,1,816,
LDN0817,DrkN,295.2448,30.1176,5.000,2,817,
LDN0818,DrkN,304.2779,26.1557,10.000,1,818,
LDN0819,DrkN,296.9955,30.3753,0.118,2,819,
LDN0820,DrkN,296.2411,30.9553,0.378,3,820,
LDN0821,DrkN,294.2795,32.4467,0.007,3,821,
LDN0822,DrkN,296.7348,32.1242,2.410,1,822,
LDN0823,DrkN,302.2541,30.1475,1.440,2,823,
LDN0824,DrkN,304.0108,29.4047,0.212,4,824,
LDN0825,DrkN,297.9804,33.1296,2.050,3,825,
LDN0826,DrkN,297.2268,33.5430,0.055,3,826,
LDN0827,DrkN,304.5100,29.7067,0.055,4,827,
LDN0828,DrkN,297.7275,33.5451,0.019,3,828,
LDN0829,DrkN,298.3040,33.4476,0.011,4,829,
LDN0830,DrkN,297.9764,33.7795,0.015,3,830,
LDN0831,DrkN,298.4776,33.7150,0.012,4,831,
LDN0832,DrkN,298.7277,33.7661,0.022,4,832,
LDN0833,DrkN,298.7274,33.7994,1.500,2,833,
LDN0834,DrkN,298.4733,34.3983,0.015,4,834,
LDN0835,DrkN,298.3463,34.6811,0.014,3,835,
LDN0836,DrkN,298.3461,34.7145,0.012,4,836,
LDN0837,DrkN,305.9816,30.7792,0.008,4,837,
LDN0838,DrkN,306.0067,30.7793,0.008,4,838,
LDN0839,DrkN,299.9774,34.1381,1.400,1,839,
LDN0840,DrkN,298.5688,35.1321,0.110,3,840,
LDN0841,DrkN,302.7379,33.1495,30.000,3,841,
LDN0842,DrkN,304.9984,31.9920,0.016,4,842,
LDN0843,DrkN,305.1740,31.9260,0.007,4,843,
LDN0844,DrkN,307.6100,30.6689,0.020,3,844,
LDN0845,DrkN,301.2531,34.3601,0.200,2,845,
LDN0846,DrkN,310.5226,29.1799,3.000,1,846,
LDN0847,DrkN,300.4720,35.1402,3.000,3,847,341
LDN0848,DrkN,301.3252,34.8604,0.011,4,848,
LDN0849,DrkN,301.1484,35.1096,0.011,4,849,
LDN0850,DrkN,302.9824,34.1505,0.800,1,850,
LDN0851,DrkN,307.5797,31.6688,0.020,3,851,
LDN0852,DrkN,301.4737,35.1443,0.030,3,852,
LDN0853,DrkN,301.7236,35.2287,0.002,5,853,147
LDN0854,DrkN,299.4623,36.3859,0.108,2,854,
LDN0855,DrkN,299.6376,36.3867,0.008,3,855,
LDN0856,DrkN,302.0495,35.1800,0.015,3,856,
LDN0857,DrkN,300.4656,36.1401,0.800,1,857,144
LDN0858,DrkN,302.7773,34.9497,0.200,4,858,
LDN0860,DrkN,301.2175,36.0599,0.001,6,859,146
LDN0859,DrkN,307.8516,32.3365,0.015,4,860,
LDN0861,DrkN,300.1109,36.7720,0.005,3,861,
LDN0862,DrkN,301.7125,36.9787,0.800,1,862,
LDN0863,DrkN,301.9371,37.1129,0.005,4,863,
LDN0864,DrkN,310.5076,32.1798,5.000,3,864,
LDN0865,DrkN,301.0560,37.7760,0.075,4,865,145
LDN0866,DrkN,301.7824,37.7790,0.172,3,866,
LDN0867,DrkN,299.9725,38.7214,0.011,3,867,
LDN0868,DrkN,311.7601,32.1844,0.654,2,868,
LDN0869,DrkN,299.9422,39.4713,0.034,1,869,
LDN0870,DrkN,309.2388,35.1751,25.000,2,870,
LDN0871,DrkN,301.4429,39.8109,0.068,2,871,
LDN0872,DrkN,300.4361,40.4734,0.083,1,872,
LDN0873,DrkN,310.2410,35.1789,0.980,1,873,
LDN0874,DrkN,310.4915,35.1798,0.980,1,874,
LDN0875,DrkN,301.9428,39.9797,0.004,3,875,
LDN0876,DrkN,302.3192,39.8979,0.029,3,876,
LDN0877,DrkN,303.5719,39.9030,0.007,6,877,
LDN0878,DrkN,302.1885,40.6640,0.003,4,878,
LDN0879,DrkN,305.2045,39.3262,0.004,5,879,
LDN0880,DrkN,303.4437,40.3192,0.015,5,880,343
LDN0881,DrkN,304.4494,39.8232,0.005,6,881,
LDN0882,DrkN,304.8264,39.6580,0.002,5,882,
LDN0883,DrkN,304.9517,39.6585,0.003,5,883,
LDN0884,DrkN,301.4309,41.4776,1.230,2,884,
LDN0885,DrkN,302.3103,41.1479,0.002,4,885,342
LDN0886,DrkN,304.6989,39.9909,1.050,2,886,
LDN0887,DrkN,300.9223,42.4755,0.019,4,887,
LDN0888,DrkN,304.6943,40.6575,4.460,3,888,344
LDN0889,DrkN,306.2013,40.1635,0.800,4,889,347
LDN0890,DrkN,300.9191,42.8921,0.054,3,890,
LDN0891,DrkN,303.4318,41.9858,0.011,4,891,
LDN0892,DrkN,303.9342,41.8212,0.054,4,892,
LDN0893,DrkN,303.1794,42.2348,0.034,3,893,
LDN0894,DrkN,303.9336,41.9045,0.004,4,894,
LDN0895,DrkN,303.9281,42.6545,5.640,2,895,
LDN0896,DrkN,310.4651,39.6798,0.028,5,896,
LDN0897,DrkN,306.1874,42.1635,0.111,4,897,
LDN0898,DrkN,310.4640,39.8464,0.070,4,898,
LDN0899,DrkN,305.9331,42.6625,0.018,4,899,
LDN0900,DrkN,306.1832,42.7468,0.016,4,900,
LDN0901,DrkN,305.3768,43.3269,0.006,4,901,
LDN0902,DrkN,305.4269,43.3271,0.001,5,902,
LDN0903,DrkN,302.1547,45.0640,0.005,5,903,
LDN0904,DrkN,313.2254,39.1898,8.000,1,904,
LDN0905,DrkN,302.4033,45.3150,0.018,4,905,
LDN0906,DrkN,309.1954,42.1750,15.780,3,906,348 346 349
LDN0907,DrkN,311.3089,41.0162,0.047,3,907,
LDN0909,DrkN,304.9114,45.1585,3.840,3,908,
LDN0908,DrkN,304.9114,45.1585,0.366,3,909,
LDN0910,DrkN,304.9100,45.3251,0.011,4,910,
LDN0911,DrkN,310.1930,42.9288,0.013,4,911,
LDN0912,DrkN,316.9885,38.7027,0.800,1,912,
LDN0913,DrkN,306.0633,45.3297,0.011,4,913,
LDN0914,DrkN,312.9593,41.6888,5.210,3,914,
LDN0915,DrkN,311.3452,43.0997,0.007,6,915,
LDN0916,DrkN,314.4668,41.1941,1.440,2,916,
LDN0917,DrkN,310.0590,44.1450,0.001,6,917,
LDN0918,DrkN,310.2349,44.0956,0.004,6,918,
LDN0919,DrkN,308.1698,45.2879,0.001,5,919,
LDN0921,DrkN,308.2953,45.2717,0.002,5,920,
LDN0920,DrkN,308.1694,45.3379,0.001,5,921,
LDN0922,DrkN,309.6796,44.5936,0.005,6,922,
LDN0923,DrkN,308.6722,45.1731,0.054,3,923,
LDN0925,DrkN,308.4202,45.3388,0.002,5,924,
LDN0926,DrkN,308.8466,45.3238,0.002,5,925,
LDN0927,DrkN,315.9719,41.0993,0.025,4,926,
LDN0928,DrkN,310.2564,44.5957,0.003,6,927,
LDN0929,DrkN,308.9217,45.3407,0.002,5,928,
LDN0930,DrkN,309.2226,45.3419,0.002,5,929,
LDN0931,DrkN,311.9419,43.8519,0.013,5,930,
LDN0932,DrkN,316.4689,41.8677,0.004,4,931,
LDN0933,DrkN,313.1935,44.1897,0.132,1,932,
LDN0934,DrkN,316.7683,42.1187,0.011,4,933,
LDN0935,DrkN,314.1990,43.8599,2.250,4,934,152
LDN0936,DrkN,312.9356,45.1888,0.914,2,935,
LDN0937,DrkN,317.4685,42.4543,8.130,3,936,
LDN0938,DrkN,317.2162,42.7035,0.316,3,937,
LDN0939,DrkN,307.7701,48.1697,20.000,1,938,
LDN0940,DrkN,313.4344,45.5906,0.151,2,939,
LDN0941,DrkN,314.1853,45.8265,0.105,5,940,153
LDN0942,DrkN,319.0944,43.2096,0.006,5,941,
LDN0943,DrkN,319.1686,43.3932,0.009,3,942,
LDN0944,DrkN,319.4200,43.2940,0.002,6,943,
LDN0945,DrkN,314.4311,46.5274,0.160,2,944,
LDN0946,DrkN,319.7452,43.4617,0.001,5,945,
LDN0947,DrkN,319.9969,43.3124,0.008,5,946,
LDN0948,DrkN,320.1729,43.2463,0.001,5,947,
LDN0950,DrkN,315.1330,46.6132,0.112,5,948,356
LDN0949,DrkN,319.8451,43.5286,0.014,5,949,
LDN0951,DrkN,320.2729,43.3133,0.005,6,950,
LDN0952,DrkN,320.1215,43.4628,0.001,5,951,
LDN0953,DrkN,320.3477,43.3802,0.001,6,952,
LDN0954,DrkN,315.4298,47.1975,0.450,3,953,
LDN0955,DrkN,314.4211,47.8607,0.081,3,954,
LDN0956,DrkN,317.8976,45.9724,0.003,5,955,
LDN0957,DrkN,315.1745,47.7800,0.256,1,956,
LDN0958,DrkN,314.7454,48.1118,0.012,5,957,
LDN0959,DrkN,317.9439,46.5392,0.079,1,958,
LDN0960,DrkN,317.1364,47.1699,0.003,5,959,
LDN0961,DrkN,317.2113,47.2368,0.006,5,960,
LDN0962,DrkN,315.4210,48.3642,0.666,2,961,
LDN0963,DrkN,318.4458,46.5409,0.104,3,962,
LDN0964,DrkN,317.3860,47.3708,0.006,5,963,
LDN0965,DrkN,319.9560,45.8790,0.430,3,964,
LDN0966,DrkN,315.0393,49.0295,0.172,4,965,
LDN0967,DrkN,317.5602,47.5713,0.156,3,966,
LDN0968,DrkN,320.6357,45.5478,0.014,2,967,
LDN0969,DrkN,323.4828,43.5896,0.018,3,968,
LDN0970,DrkN,318.1891,47.3734,0.123,4,969,361
LDN0971,DrkN,315.2127,49.3135,0.010,5,970,
LDN0972,DrkN,320.3308,46.1302,0.050,4,971,
LDN0973,DrkN,324.3631,43.2255,0.029,5,972,159
LDN0974,DrkN,319.8256,46.6286,0.192,4,973,
LDN0975,DrkN,317.9345,47.8726,0.075,5,974,
LDN0976,DrkN,321.0342,46.0157,0.000,2,975,
LDN0977,DrkN,324.7394,43.2266,0.034,4,976,
LDN0978,DrkN,315.2849,49.6971,0.200,5,977,
LDN0979,DrkN,324.8642,43.3602,0.002,5,978,
LDN0980,DrkN,321.2086,46.2162,0.000,1,979,
LDN0981,DrkN,314.9042,50.1958,0.033,6,980,
LDN0982,DrkN,315.6094,49.9148,0.019,5,981,
LDN0983,DrkN,323.0981,45.0552,0.068,3,982,156 155
LDN0984,DrkN,315.4063,50.1975,0.056,4,983,
LDN0985,DrkN,314.7755,50.5787,0.033,4,984,
LDN0986,DrkN,323.0971,45.2219,0.079,2,985,
LDN0987,DrkN,315.2014,50.6801,0.009,5,986,
LDN0988,DrkN,316.1594,50.2000,0.210,1,987,
LDN0989,DrkN,320.4469,47.5472,1.400,3,988,
LDN0990,DrkN,314.7192,51.2785,0.051,5,989,
LDN0991,DrkN,315.5762,50.8814,0.016,5,990,
LDN0992,DrkN,313.6328,52.0247,0.080,3,991,
LDN0993,DrkN,321.6527,47.4176,0.001,4,992,
LDN0996,DrkN,314.3868,51.9440,0.080,5,993,
LDN0995,DrkN,321.6771,47.5176,0.001,4,994,
LDN0994,DrkN,321.5005,47.6504,0.009,3,995,
LDN0998,DrkN,316.0254,51.1996,0.172,4,996,
LDN0999,DrkN,316.9084,50.7025,7.200,1,997,
LDN0997,DrkN,321.6509,47.6842,0.001,5,998,
LDN1000,DrkN,316.6560,50.8684,0.255,1,999,
LDN1001,DrkN,321.8266,47.6848,0.001,5,1000,
LDN1002,DrkN,314.1287,52.6931,1.970,2,1001,
LDN1003,DrkN,314.8851,52.3624,0.079,5,1002,
LDN1004,DrkN,315.3874,52.3641,0.174,4,1003,
LDN1006,DrkN,322.8301,47.8044,0.039,3,1004,
LDN1005,DrkN,318.4150,50.7075,7.000,3,1005,
LDN1007,DrkN,321.3163,48.8832,0.153,3,1006,363
LDN1008,DrkN,321.6918,49.0510,0.013,5,1007,
LDN1009,DrkN,323.4572,47.8896,0.061,4,1008,
LDN1010,DrkN,324.7177,47.0599,0.182,4,1009,
LDN1011,DrkN,316.6430,52.3684,0.078,4,1010,
LDN1012,DrkN,323.5311,48.1065,0.021,4,1011,
LDN1013,DrkN,315.1268,53.3632,0.048,5,1012,
LDN1014,DrkN,321.0069,49.9990,0.004,6,1013,
LDN1015,DrkN,315.1252,53.5299,0.049,5,1014,
LDN1016,DrkN,319.9444,51.0124,0.003,5,1015,
LDN1017,DrkN,321.3321,50.1666,0.027,5,1016,362
LDN1018,DrkN,316.1322,53.2833,0.016,5,1017,
LDN1019,DrkN,320.2463,50.9466,0.003,5,1018,
LDN1020,DrkN,325.7210,47.2293,0.136,3,1019,
LDN1021,DrkN,320.3963,51.0304,0.001,6,1020,
LDN1022,DrkN,317.3919,52.8708,0.382,4,1021,
LDN1023,DrkN,314.6146,54.3615,0.280,2,1022,
LDN1024,DrkN,325.5685,47.5289,0.011,5,1023,
LDN1026,DrkN,315.3715,54.0308,0.048,5,1024,
LDN1027,DrkN,316.6338,53.3683,0.026,5,1025,
LDN1028,DrkN,316.3811,53.5342,0.055,4,1026,
LDN1029,DrkN,315.3698,54.1974,10.000,3,1027,
LDN1032,DrkN,315.8730,54.1158,0.043,4,1028,
LDN1030,DrkN,326.6257,47.0984,0.031,4,1029,
LDN1031,DrkN,326.4742,47.2314,0.020,5,1030,
LDN1033,DrkN,309.3074,57.1757,0.714,3,1031,
LDN1034,DrkN,316.3763,54.0342,0.045,4,1032,
LDN1036,DrkN,309.5585,57.1767,0.088,5,1033,
LDN1037,DrkN,313.5984,55.4413,0.591,3,1034,
LDN1038,DrkN,311.5783,56.3508,0.660,2,1035,
LDN1035,DrkN,326.1700,47.7305,0.109,5,1036,
LDN1039,DrkN,310.5675,56.8471,0.079,4,1037,
LDN1041,DrkN,309.5543,57.5100,0.022,5,1038,
LDN1040,DrkN,326.6471,47.7318,0.016,4,1039,
LDN1044,DrkN,310.3100,57.3461,0.006,5,1040,
LDN1043,DrkN,324.9552,49.2272,1.148,2,1041,
LDN1042,DrkN,327.3019,47.4002,0.015,5,1042,
LDN1045,DrkN,327.0996,47.6497,0.018,4,1043,
LDN1046,DrkN,325.8374,48.7296,0.088,3,1044,
LDN1047,DrkN,327.0229,47.8662,0.005,5,1045,
LDN1048,DrkN,323.8173,50.3406,0.069,3,1046,
LDN1049,DrkN,310.5591,57.5137,0.005,6,1047,
LDN1050,DrkN,316.3680,54.8675,0.090,4,1048,
LDN1051,DrkN,310.6847,57.5142,0.010,5,1049,
LDN1053,DrkN,314.8518,55.6957,0.033,5,1050,357
LDN1052,DrkN,326.9711,48.1327,0.018,5,1051,
LDN1054,DrkN,323.6890,50.7236,6.000,2,1052,
LDN1055,DrkN,328.3074,47.2028,0.199,3,1053,168
LDN1056,DrkN,314.5969,56.0281,0.036,2,1054,
LDN1057,DrkN,325.9576,49.5633,0.053,4,1055,
LDN1058,DrkN,315.6020,56.0316,0.869,3,1056,
LDN1059,DrkN,325.1962,50.7279,0.059,3,1057,
LDN1060,DrkN,317.8714,55.2891,0.031,4,1058,
LDN1061,DrkN,314.5816,57.3614,0.618,2,1059,354
LDN1062,DrkN,318.3715,55.5407,0.003,5,1060,
LDN1063,DrkN,316.8548,56.3691,0.025,5,1061,360
LDN1064,DrkN,318.3706,55.6241,0.001,5,1062,
LDN1065,DrkN,316.8530,56.5358,0.023,5,1063,151
LDN1067,DrkN,317.3539,56.7041,0.012,5,1064,
LDN1066,DrkN,326.9548,50.7327,0.208,3,1065,
LDN1068,DrkN,316.5701,57.1182,0.027,5,1066,359
LDN1069,DrkN,317.1007,56.8699,0.018,4,1067,
LDN1070,DrkN,326.7013,51.0653,0.050,5,1068,164
LDN1071,DrkN,314.5714,58.1947,0.092,5,1069,
LDN1072,DrkN,319.1187,56.2098,1.510,2,1070,
LDN1073,DrkN,327.0759,51.3997,0.162,2,1071,
LDN1074,DrkN,323.6646,53.8902,0.027,5,1072,364
LDN1075,DrkN,322.9063,54.3880,0.145,4,1073,157
LDN1076,DrkN,312.3371,59.8536,0.008,5,1074,149 148
LDN1077,DrkN,324.4199,53.7257,0.002,5,1075,
LDN1078,DrkN,324.1659,54.0584,0.018,5,1076,
LDN1079,DrkN,323.1548,54.7221,0.011,5,1077,
LDN1080,DrkN,320.3722,56.5471,0.001,5,1078,154
LDN1081,DrkN,324.1631,54.3917,0.584,2,1079,
LDN1082,DrkN,312.7849,60.1885,0.111,5,1080,150
LDN1083,DrkN,323.3949,55.9728,0.761,3,1081,
LDN1084,DrkN,325.4158,54.8952,0.099,4,1082,
LDN1085,DrkN,323.3875,56.7561,0.010,4,1083,
LDN1086,DrkN,322.1220,57.5524,0.095,4,1084,
LDN1087,DrkN,323.8924,56.5576,0.013,5,1085,
LDN1089,DrkN,308.2031,63.5051,0.244,3,1086,
LDN1088,DrkN,324.6499,56.2264,0.019,4,1087,160
LDN1090,DrkN,323.8908,56.7243,0.028,4,1088,365
LDN1091,DrkN,330.2074,52.9076,0.124,2,1089,
LDN1092,DrkN,324.3914,56.9757,0.014,3,1090,
LDN1094,DrkN,308.1934,64.0050,0.002,5,1091,
LDN1093,DrkN,323.3788,57.6395,0.034,4,1092,
LDN1095,DrkN,325.6551,56.3125,0.012,4,1093,162
LDN1096,DrkN,322.8714,58.0547,0.001,3,1094,
LDN1097,DrkN,326.6661,55.7319,0.003,4,1095,
LDN1098,DrkN,323.6303,57.6402,0.025,3,1096,
LDN1100,DrkN,308.6964,64.0069,0.007,5,1097,
LDN1099,DrkN,324.1358,57.3916,0.008,5,1098,
LDN1101,DrkN,324.8944,56.9771,0.095,3,1099,
LDN1102,DrkN,323.1229,58.0554,0.008,5,1100,
LDN1103,DrkN,325.4249,56.7286,0.003,6,1101,161
LDN1104,DrkN,325.5255,56.7289,0.006,4,1102,
LDN1105,DrkN,324.2851,57.5587,0.008,4,1103,
LDN1106,DrkN,325.6498,56.8959,0.009,4,1104,163
LDN1107,DrkN,329.1906,54.4885,11.000,1,1105,
LDN1108,DrkN,321.5969,59.5509,0.046,3,1106,
LDN1109,DrkN,327.9228,55.8186,0.150,2,1107,
LDN1111,DrkN,324.8856,57.8938,0.002,6,1108,
LDN1110,DrkN,324.8856,57.8938,0.007,4,1109,
LDN1112,DrkN,324.6323,58.0597,0.013,4,1110,
LDN1113,DrkN,326.1501,57.1972,0.002,5,1111,367
LDN1114,DrkN,327.4149,56.4006,0.016,4,1112,
LDN-SEQ-1113,DrkN,325.3903,57.7285,0.000,,1113,
LDN1115,DrkN,326.6552,56.9819,0.002,5,1114,
LDN1116,DrkN,324.1240,58.5583,0.034,3,1115,
LDN1117,DrkN,324.6298,58.3097,0.004,5,1116,
LDN1118,DrkN,326.6531,57.2153,0.001,5,1117,
LDN1119,DrkN,318.2973,61.7073,0.010,5,1118,
LDN1120,DrkN,326.9052,57.1493,0.001,5,1119,
LDN1121,DrkN,325.1333,58.2778,0.008,5,1120,
LDN1122,DrkN,308.1656,65.3383,0.041,4,1121,
LDN1123,DrkN,324.8797,58.4771,0.003,5,1122,
LDN1124,DrkN,325.3854,58.2285,0.015,5,1123,
LDN1125,DrkN,318.6749,61.7085,0.010,5,1124,
LDN1126,DrkN,324.8788,58.5604,0.006,5,1125,
LDN1127,DrkN,325.2311,58.5614,0.004,5,1126,
LDN1128,DrkN,325.3821,58.5618,0.015,5,1127,
LDN1129,DrkN,326.6467,57.8986,0.041,3,1128,
LDN1130,DrkN,326.1394,58.3139,0.012,4,1129,
LDN1131,DrkN,324.9941,59.5608,0.046,3,1130,366
LDN1132,DrkN,326.6386,58.7319,0.003,4,1131,
LDN1133,DrkN,330.6865,56.2421,0.248,3,1132,
LDN1134,DrkN,325.3643,60.2285,2.630,1,1133,
LDN1135,DrkN,324.8560,60.6437,0.054,3,1134,
LDN1136,DrkN,326.3740,59.9812,0.012,5,1135,
LDN1138,DrkN,327.8937,59.0685,0.018,4,1136,
LDN1137,DrkN,327.8937,59.0685,0.018,5,1137,368
LDN1139,DrkN,328.9053,58.5711,0.015,5,1138,
LDN1140,DrkN,325.1049,60.8944,0.240,2,1139,
LDN1141,DrkN,328.9038,58.7378,0.010,4,1140,
LDN1142,DrkN,329.1523,59.0717,0.002,5,1141,
LDN1143,DrkN,329.4049,58.9890,0.020,6,1142,
LDN1144,DrkN,327.6314,60.1179,0.027,5,1143,166 165 167
LDN1146,DrkN,322.8150,62.7212,0.183,3,1144,
LDN1145,DrkN,322.8150,62.7212,0.183,3,1145,
LDN1148,DrkN,310.1328,67.3458,0.015,6,1146,
LDN1147,DrkN,310.1328,67.3458,0.127,3,1147,
LDN1149,DrkN,329.4036,59.1224,0.015,4,1148,170
LDN1150,DrkN,333.9590,55.9995,0.007,3,1149,369
LDN1152,DrkN,308.6043,68.0068,0.025,5,1150,
LDN1151,DrkN,329.9076,59.0736,0.027,3,1151,169
LDN1153,DrkN,330.1601,58.9909,0.079,5,1152,171
LDN1155,DrkN,310.8800,67.6819,0.006,6,1153,
LDN1154,DrkN,334.2091,56.2167,0.007,3,1154,
LDN1157,DrkN,309.8637,68.0115,0.005,5,1155,
LDN1158,DrkN,311.1320,67.6828,0.111,4,1156,
LDN1156,DrkN,334.9671,55.7517,0.043,2,1157,
LDN1159,DrkN,331.6742,58.5778,2.790,1,1158,
LDN1160,DrkN,331.1671,58.9933,0.019,3,1159,
LDN1161,DrkN,334.9646,56.1350,0.006,3,1160,
