hip,hr,ra_deg,dec_deg,mag,name,common_name_zh
1657,79,5.189435,32.911075,5.79,,
1660,,5.202441,-23.630207,6.78,,
1708,84,5.380232,-28.981927,5.18,,
1725,,5.426293,67.822986,6.55,,
1728,85,5.443233,-20.058106,5.61,,
1766,,5.589383,-50.992181,6.68,,
1772,86,5.6066,13.482631,6.25,,壁宿增十二
1795,,5.700999,-39.262571,6.75,,
1799,,5.708429,29.454217,6.95,,
1803,88,5.718362,-12.209052,6.39,,八魁五
1809,,5.739054,38.754319,6.69,,
1821,,5.768835,-15.942396,6.43,,
1830,89,5.802698,-31.035758,6.55,,
1921,91,6.065381,52.019885,5.58,,
1939,94,6.123318,-2.219336,6.08,,
2006,97,6.350776,1.93961,5.77,,土公增七
2021,98,6.502096,-77.252172,2.82,,蛇尾一
2025,,6.424885,7.690834,6.77,,土公二
2032,,6.44034,-27.710417,6.88,,
2072,100,6.551779,-43.67962,3.93,,火鸟五
2080,,6.568838,3.825761,6.9,,
2081,99,6.573056,-42.308241,2.4,Ankaa,火鸟六
2086,,6.59078,-18.69371,6.24,,
2100,101,6.656336,-0.049523,6.16,,土公增八
2101,,6.664615,56.641208,6.58,,
2135,,6.76978,25.04196,6.66,,
2151,,6.801915,49.985715,6.95,,
2159,102,6.811518,-25.547267,5.99,,
2210,105,6.981921,-33.00749,4.86,,
2213,,6.993457,19.513927,6.4,,壁宿增廿一
2219,103,7.012917,17.893255,5.01,,壁宿增廿
2225,104,7.057643,44.394355,5.18,,
2227,,7.058485,-29.040445,6.75,,
2235,107,7.083761,10.18855,6.05,,
2237,108,7.087096,-20.33577,6.44,,
2240,109,7.111637,-39.915267,5.42,,
2243,,7.118844,32.43762,6.87,,
2246,,7.139029,-11.237309,6.86,,
2256,111,7.181299,-50.532895,6.26,,
2270,110,7.236056,36.899677,6.28,,
2323,,7.413358,-2.840681,6.89,,
2337,115,7.467211,-14.864326,6.15,,
2353,117,7.50988,-3.957424,5.72,,天溷增一
2355,114,7.531008,29.751191,5.2,,奎宿增一
2358,,7.53607,4.860204,6.52,,
2377,113,7.58326,59.97753,5.94,,
2381,118,7.594204,-23.78759,5.17,,
2392,,7.622571,-39.519044,6.6,,
2415,,7.696265,16.037603,6.83,,壁宿增十四
2422,112,7.739181,77.019187,6.18,,
2431,,7.749364,-10.084825,6.86,,
2472,125,7.855452,-48.803389,4.76,,火鸟八
2474,121,7.855436,66.519595,6.18,,传舍增一
2475,122,7.857213,33.581537,5.88,,
2484,126,7.88727,-62.958566,4.36,,鸟喙四
2491,,7.905543,9.161164,6.99,,
2497,124,7.920905,52.839443,5.59,,
2539,,8.058641,34.993737,6.74,,
2548,132,8.099387,6.955486,5.69,,土公增六
2553,128,8.111851,43.494733,6.69,,
2557,,8.12487,51.72824,6.94,,
2560,,8.132896,18.794384,6.79,,
2568,131,8.14879,20.294008,5.38,,壁宿增廿二
2572,,8.16407,-25.360062,6.72,,
2573,,8.165675,23.193577,6.84,,
2576,,8.179852,38.843627,6.9,,
2583,134,8.204499,28.280279,6.26,,
2599,130,8.250022,62.931772,4.17,,王良二
2611,135,8.294089,54.894732,5.93,,
2628,129,8.330973,70.981833,6.41,,
2629,139,8.34879,-71.26633,6.11,,
2661,138,8.420805,-29.558467,5.55,,
2663,,8.432055,-35.005379,6.41,,
2695,,8.545401,10.298201,6.76,,
2701,,8.581934,-42.431116,6.88,,
2708,,8.604877,-45.42573,6.8,,
