hip,hr,ra_deg,dec_deg,mag,name,common_name_zh
31850,2439,99.881312,24.600738,6.43,,
31859,2455,99.90097,-23.695712,6.05,,
31870,2460,99.927696,-30.471718,5.7,,
31874,,99.943904,-1.380154,6.92,,
31876,2449,99.948719,12.982678,5.99,,
31897,2559,100.011837,-80.813255,5.61,,
31922,2346,100.069074,79.599619,6.74,,
31925,,100.078705,-6.346203,6.91,,
31928,,100.08839,40.969671,6.82,,
31940,2363,100.120758,77.995747,5.75,,
31946,2396,100.134466,71.748856,5.88,,
31976,,100.238777,-12.182266,6.92,,
31977,2505,100.240471,-71.775453,6.5,,
31978,2456,100.244412,9.895738,4.66,,四渎增一
31985,,100.257704,-7.572606,6.84,,
31992,2461,100.272621,0.495291,5.79,,
32007,2475,100.308991,-40.34978,6.16,,
32012,2458,100.321784,11.003245,6.19,,
32019,2453,100.337077,28.196623,6.45,,
32055,,100.460984,14.216529,6.8,,
32064,2469,100.485169,-9.167831,5.21,,
32065,,100.488209,-20.250083,6.85,,
32067,2467,100.496801,6.34544,6.36,,
32076,,100.520536,-15.216075,6.97,,
32091,2482,100.568129,-38.39877,6.28,,
32104,2466,100.601405,17.644749,5.2,,井宿增七
32106,,100.606084,-67.842862,6.72,,
32140,,100.680929,-32.712713,6.76,,
32143,,100.687568,32.558825,6.74,,
32144,2481,100.691475,-22.447946,6.26,,
32146,,100.697493,-4.140874,6.57,,
32173,2459,100.770309,44.524258,5.04,,座旗三
32190,2464,100.807465,37.14723,6.21,,
32222,2531,100.90343,-73.118835,6.36,,
32226,2479,100.911018,3.93251,5.88,,
32243,,100.972708,-25.534898,6.7,,
32246,2473,100.982981,25.131042,3.06,Mebsuta,井宿五
32252,,101.021701,62.962856,6.61,,
32261,2463,101.048332,53.294655,6.28,,
32268,2471,101.052225,36.109257,6.37,,
32292,2492,101.118587,-31.070483,5.23,,弧矢增一
32296,2350,101.127105,82.114986,6.61,,
32311,2480,101.189348,28.97078,5.42,,井宿增四
32322,2493,101.216423,-27.339789,6.43,,
32332,2536,101.231566,-70.433724,6.1,,
32349,2491,101.283516,-16.72393,-1.44,Sirius,天狼
32350,,101.290414,39.367274,6.93,,
32352,,101.291726,-18.268487,6.9,,
32362,2484,101.321601,12.894372,3.35,Alzirr,井宿四
32368,2495,101.347214,-23.462282,6.04,,
32376,,101.360834,9.765528,6.65,,
32398,,101.458519,-0.716486,6.78,,
32402,2515,101.473785,-52.409633,5.81,,
32418,2507,101.513345,-39.540208,6.62,,
32431,,101.543131,23.371514,6.51,,
32438,2470,101.558657,59.441613,4.86,,
32439,2401,101.555467,79.560953,5.44,,六甲一
32455,,101.607677,-19.877929,6.75,,
32474,2502,101.662503,-10.107355,5.66,,
32480,2483,101.684742,43.578485,5.24,,座旗四
32489,2477,101.706455,57.168929,5.34,,八谷增卅一
32492,2504,101.712862,-14.425906,5.28,,天狼增一
32500,2848,101.74383,-87.024977,6.46,,
32504,2509,101.756076,-21.015362,6.07,,军市增三
32531,2526,101.827944,-55.539827,5.6,,
32533,2503,101.832479,8.037178,4.77,,四渎二
32537,2518,101.839084,-37.929765,5.27,,
32538,,101.844705,-48.563338,6.84,,
32539,2499,101.847737,18.193177,6.35,,
32548,,101.869608,-76.851465,7,,
32558,2508,101.905063,-8.998506,5.08,,
32562,2487,101.914851,48.789517,5.22,,座旗一
32578,2506,101.965121,2.41208,4.48,,阙丘一
32607,2550,102.04679,-61.939844,3.24,,金鱼增一
32609,2486,102.051871,55.703526,5.54,,
32669,,102.210701,-29.74366,6.83,,
32682,2517,102.265226,1.002046,6.16,,
32689,,102.292403,27.190076,6.66,,
32698,2521,102.318317,-2.272066,5.75,,
32740,2512,102.421828,32.606432,5.72,,
32743,,102.430387,25.484141,6.8,,
32746,,102.434328,37.512796,6.49,,
32753,2519,102.45755,16.202821,5.87,,
32759,2538,102.46018,-32.508453,3.5,,弧矢八
32761,2554,102.463786,-53.622336,4.41,,
32765,2548,102.477563,-46.612168,5.14,,
32768,2553,102.484379,-50.61498,2.94,,老人增一
32771,2546,102.490492,-45.450787,6.54,,
32775,2562,102.504289,-60.248457,6.11,,
32776,,102.50907,12.05809,6.85,,
32779,,102.510327,-66.293222,6.99,,
32793,,102.551103,5.6735,6.77,,
32809,2535,102.590657,-17.084547,5.77,,
32827,2544,102.653966,-25.778355,6.32,,
32838,2534,102.676205,-8.040978,6.31,,
32839,,102.680194,-4.266235,6.87,,
32844,2516,102.691232,41.780349,4.99,,座旗六
32855,2549,102.71817,-34.367313,4.99,,
32921,2529,102.887647,21.760928,5.28,,井宿六
32926,,102.899218,9.439957,6.84,,
32931,2543,102.914094,3.041802,6.37,,
32938,2558,102.926429,-36.230646,5.94,,
32968,2533,102.999669,23.601654,5.68,,
32990,2552,103.095114,-5.316365,6.3,,
33015,2579,103.196433,-43.975558,6.47,,
33018,2540,103.197219,33.96095,3.6,,五诸侯一[井宿]
33024,2551,103.205907,8.380176,5.75,,
33040,2567,103.251184,-26.95805,6.33,,
33041,2539,103.255849,38.869203,6.1,,座旗九
33044,2542,103.264735,35.787961,6.03,,
33077,2565,103.328058,-19.032722,5.65,,
33082,2555,103.343337,10.995882,6.3,,
33085,,103.358944,51.517863,6.95,,
33094,2576,103.393484,-28.542618,6.05,,
33104,2511,103.426112,68.888359,5.11,,紫微右垣五
33152,2580,103.533114,-24.184178,3.89,,军市五
33160,2574,103.546583,-12.038721,4.08,,天狼增二
33184,2572,103.602864,-1.127087,5.44,,
33189,2591,103.611169,-42.365447,6.32,,
33202,2564,103.661446,13.17733,4.73,,井宿增十三
33205,,103.66564,15.837867,6.57,,
33217,,103.691376,48.90507,6.99,,
33243,2582,103.745458,-2.803591,6.03,,
33269,2557,103.811089,43.909985,6.16,,
33277,2569,103.827529,25.375859,5.74,,天樽增一
33302,2590,103.906309,-20.136243,4.66,,军市增四
33330,2598,103.978155,-31.790135,6.36,,
33345,2593,104.027681,-14.043385,5,,天狼增三
33347,2596,104.034252,-17.054229,4.36,,天狼增五
33357,2608,104.06664,-48.721092,4.94,,
33358,,104.068731,17.736861,6.75,,
33372,2589,104.107533,9.95652,5.9,,
33377,2568,104.133542,46.27403,5.85,,
33384,2689,104.143596,-79.420203,5.45,,
33447,2603,104.31151,-22.202838,6.64,,
33449,2560,104.319269,58.421968,4.35,,八谷增卅
33451,2612,104.32295,-35.507029,6.23,,
33465,2597,104.356616,11.907534,6.26,,
33485,2585,104.404414,45.094073,4.9,,座旗二
33495,,104.439214,-52.650862,6.91,,
33532,2614,104.531455,-27.164354,6.36,,
33534,,104.535492,-10.315676,6.58,,
33537,,104.549289,22.476517,6.94,,
33558,2619,104.604429,-34.111662,5.07,,
33575,2616,104.649536,-25.414123,5.59,,
33579,2618,104.656468,-28.972068,1.5,Adhara,弧矢七
33584,2606,104.661946,7.622165,6.25,,
33588,2634,104.664869,-55.729638,6.26,,
33590,2626,104.673749,-45.767619,6.23,,
33603,2610,104.737577,3.602332,5.96,,
33610,,104.751736,-32.722224,6.76,,
33614,2600,104.76151,38.051534,6.02,,座旗增五
33643,,104.833848,42.314688,6.68,,
33672,,104.935044,52.572318,6.66,,
33682,2662,104.960111,-67.914948,5.18,,
33690,,104.99642,-61.334491,6.81,,
33694,2527,105.018899,76.977318,4.55,,六甲二
33705,,105.040871,-31.141469,6.62,,
33715,2615,105.065931,16.078979,5.73,,井宿增十四
33722,,105.087255,67.330454,6.53,,
33729,2624,105.098942,-8.40681,5.95,,
33743,,105.146234,-20.64035,6.71,,
33779,2652,105.214297,-51.402457,5.14,,
33781,,105.216571,-19.444406,6.99,,
33816,,105.306668,54.856476,6.92,,
33823,2620,105.320793,32.414445,6.55,,
33827,2581,105.339494,70.808195,5.69,,
33856,2646,105.429741,-27.934801,3.49,Nganurganity,弧矢增二
33868,,105.45627,-11.300899,6.54,,
33873,2636,105.470579,-1.346134,6.2,,
33875,2633,105.48023,5.557128,6.59,,
33878,2639,105.48484,-5.722023,5.22,,
33880,,105.487156,63.676809,6.61,,
33891,,105.528035,-3.754847,6.58,,
33927,2630,105.603208,24.215444,5.2,,天樽三
33929,2631,105.606534,17.755695,5.96,,
33971,2648,105.728207,-4.239213,4.99,,阙丘增四
33977,2653,105.756122,-23.833264,3.02,,军市增五
34000,2674,105.812785,-59.178036,5.5,,
34002,2647,105.824492,9.138374,5.96,,
34017,2643,105.878054,29.33179,5.93,,
34033,2649,105.90862,10.95174,5.14,,四渎一
34041,,105.928782,-25.083897,6.86,,
34045,2657,105.939547,-15.633357,4.11,Muliphein,天狼增四
34055,2651,105.964955,12.594199,6.01,,
34059,2672,105.972837,-49.583031,4.92,,
34065,2667,105.987918,-43.605553,5.56,,
34066,2656,105.989359,-10.123761,6.44,,
34068,,105.993102,40.58231,6.97,,
34070,,105.995035,47.050024,6.99,,
34081,2666,106.011482,-42.336822,5.2,,
34083,,106.014945,36.313442,6.7,,
34088,2650,106.027178,20.570291,4.01,Mekbuda,井宿七
34101,,106.062586,75.411231,6.99,,
34105,2683,106.076506,-56.749706,5.14,,
34107,2654,106.084032,1.488458,6.57,,
34142,2664,106.19615,-22.031914,6.09,,
34168,2645,106.287456,47.775046,6.37,,
34182,2659,106.326532,22.637398,6,,天樽增六
34200,2677,106.383092,-34.777445,6.15,,
34229,,106.446797,31.393274,6.64,,
34248,2680,106.501965,-30.655665,6.34,,
34250,2642,106.505428,59.801831,6.4,,
34253,2685,106.509492,-38.382764,6.09,,
34266,,106.548383,24.860062,6.89,,
34267,2660,106.547871,34.473655,5.55,,
34297,2679,106.649832,-12.393937,6.48,,
34301,2678,106.669837,-11.294001,5.41,,
34338,2676,106.77686,4.910539,6.1,,
34339,2691,106.7794,-40.893196,5.8,,
34349,2698,106.805253,-51.96801,5.96,,
34350,,106.817718,-59.716358,6.46,,
34367,2669,106.853604,28.176692,6.47,,
34387,2682,106.956248,7.471001,5.74,,
34416,,107.026319,44.039946,6.84,,
34440,2684,107.0918,15.930013,5.47,,井宿增十五
34444,2693,107.097831,-26.393178,1.83,Wezen,弧矢一
34462,2675,107.150963,37.444999,6.19,,
34481,2736,107.187395,-70.498241,3.78,,飞鱼二
34489,2695,107.20583,-24.043751,6.65,,
34495,2702,107.212694,-39.65561,4.83,,
34536,2694,107.334374,-10.346542,6.23,,
34559,,107.384562,-6.04392,6.96,,
34561,2699,107.389008,-16.234513,6,,
34579,2704,107.429231,-25.231009,5.69,,弧矢增廿六
34588,,107.462542,9.308801,6.72,,
34608,2692,107.52663,21.243963,6.43,,
34615,,107.536185,62.135768,6.96,,
34617,2705,107.539095,-18.685745,6.23,,
34622,2701,107.557011,-4.235714,4.91,,阙丘增五
34624,2708,107.580431,-27.491508,5.46,,
34693,2697,107.784647,30.244853,4.41,,五诸侯二[井宿]
34722,2700,107.845962,26.856374,5.75,,天樽增三
34725,,107.854841,-17.331084,6.66,,
34752,2696,107.914223,39.320562,4.91,,座旗增六
34758,2716,107.923293,-20.882924,5.84,,
34768,2710,107.964015,5.65467,6.07,,
34769,2714,107.966084,-0.492722,4.15,,阙丘增三
34776,,107.980769,-56.155179,6.67,,
34777,,107.987415,49.789678,6.67,,
34780,2754,108.008213,-63.190069,6.03,,
34782,2720,108.016716,-30.821218,6.1,,
34834,2740,108.13884,-46.758621,4.49,,
34855,,108.193058,-57.490809,6.64,,
34888,2723,108.279959,-11.25129,5.77,,
34909,2717,108.342913,16.158699,5.07,,井宿增十七
34912,2703,108.347591,51.428831,5.46,,
34913,,108.348814,13.762903,6.6,,
34922,2748,108.385622,-44.63766,4.42,,
34929,,108.416043,-53.667815,6.7,,
34940,2733,108.451581,-22.905758,6.34,,
34942,,108.457195,10.690713,6.95,,
34952,,108.479981,78.752641,6.93,,
34955,,108.491251,-50.471403,6.79,,
34956,2681,108.492296,71.8167,6.36,,
34982,2732,108.564634,-9.947515,5.9,,
34987,2729,108.583561,3.111395,5.36,,
35005,2728,108.635593,12.115716,5.71,,
35020,2762,108.658877,-48.271921,4.75,,
35025,2725,108.675304,24.884413,5.84,,天樽增四
35037,2749,108.702645,-26.772619,4.01,,弧矢增三
35054,2759,108.738169,-41.426334,5.95,,
35072,,108.786199,-14.609448,6.97,,
35083,2756,108.837698,-30.686373,5.36,,
35095,,108.870832,-58.542576,6.84,,
35120,2747,108.914442,7.977757,5.78,,
35127,2752,108.930364,-10.583612,5.95,,
35136,2721,108.959187,47.238773,5.54,,
35146,2715,108.977485,59.635816,5.2,,内阶增二
35152,2738,108.988092,27.897399,5.75,,
35180,2758,109.060349,-15.58578,5.46,,
35188,,109.080785,-32.041719,6.92,,
35205,2766,109.145713,-27.880931,4.66,,
35210,2764,109.153438,-23.315575,4.83,,
35228,2803,109.207533,-67.957097,3.97,,飞鱼五
35253,,109.264578,26.688643,6.38,,
35261,,109.279263,-12.034321,6.72,,
35264,2773,109.285568,-37.097425,2.71,,弧矢九
35265,,109.289276,33.090948,6.93,,
35298,,109.377215,31.697914,6.75,,
35301,2765,109.381764,-6.679919,6.29,,
35310,,109.410526,9.291356,6.72,,
35341,2753,109.509092,40.88347,5.87,,座旗增七
35350,2763,109.522937,16.540141,3.58,,井宿八
35384,2751,109.633224,49.46478,5,,
35393,2791,109.639556,-39.210227,5.24,,
35415,2782,109.677013,-24.954352,4.37,,弧矢增六
35463,2794,109.806902,-33.727221,6.31,,
35468,,109.826689,-17.524829,6.7,,
35476,2778,109.843198,2.740625,5.9,,
35487,2788,109.868524,-16.396115,5.7,,
35497,,109.884534,-61.144905,6.75,,
35509,2779,109.948916,7.14257,5.91,,
35548,2780,110.028521,15.142813,6.45,,
35550,2777,110.030611,21.982271,3.5,Wasat,天樽二
35567,,110.095314,-56.294252,6.57,,
35578,,110.135332,-26.699956,6.74,,
35589,2815,110.161614,-52.08592,5.38,,
35615,2796,110.242784,-14.360492,5.59,,
35623,2775,110.262756,42.655686,6.33,,
35643,2776,110.322459,45.228276,5.74,,
35648,,110.342198,-48.52692,6.83,,
35690,,110.460264,75.089228,6.96,,
35699,2795,110.486499,20.443506,5.09,,天樽增七
35707,2806,110.508622,-8.979286,6.42,,
35710,2793,110.510118,36.760444,5.12,,积水[井宿]
35712,2801,110.51451,0.177108,5.99,,
35725,2792,110.55588,38.995705,6.4,,
35727,2812,110.556358,-19.016642,4.94,,
35735,2772,110.571583,59.902098,6.36,,
35737,2807,110.577457,-2.979216,6.23,,
35746,,110.596178,-20.506644,6.96,,
35749,2811,110.605707,-5.982882,5.83,,
35785,2784,110.716752,55.281188,5.8,,内阶增一
35795,2819,110.752842,-31.923758,5.4,,
35803,,110.768948,18.273143,6.78,,
35842,2810,110.867057,22.945119,6.17,,
35846,2808,110.868327,25.050349,5.04,,天樽一
35848,2822,110.870991,-27.83432,5.37,,
35855,2823,110.882835,-32.202037,5.41,,
35893,2829,110.992985,-35.837726,6.32,,
35904,2827,111.023735,-29.303062,2.45,Aludra,弧矢二
35907,2805,111.035257,40.672253,5.23,,座旗增八
35929,,111.102302,10.24561,6.9,,
35933,2817,111.115191,15.517186,6.47,,
35946,,111.154854,-71.470396,6.49,,
35951,2825,111.167414,-16.201601,5.18,,
35960,2842,111.197208,-37.291016,6.14,,
35987,2820,111.242307,11.669429,5.37,,水位增一
35998,2832,111.283316,-13.751984,5.79,,
36017,2839,111.333217,-21.982573,6.04,,
36019,2709,111.341414,81.257251,6.3,,
36024,2841,111.355224,-25.217772,5.79,,
36046,2821,111.430773,27.797541,3.78,,五诸侯三[井宿]
36080,2838,111.514094,-4.537482,6.78,,
36114,2862,111.590989,-51.018443,5.09,,
36143,2856,111.676878,-34.140653,5.9,,
36145,2818,111.678442,49.211216,4.61,,座旗增九
36156,2837,111.734723,20.257491,5.94,,天樽增八
36163,,111.743862,43.258347,6.66,,
36186,2853,111.783265,-17.864852,5.6,,
36188,2845,111.78735,8.28907,2.89,Gomeisa,南河二
36211,2809,111.857605,66.331389,6.47,,
36238,2846,111.934506,21.444456,5.2,,天樽增九
36251,2859,111.965242,-11.556882,5.79,,
36264,,112.008122,-26.838916,6.26,,
36265,2851,112.008621,6.941681,5.22,,南河增二
36287,,112.047587,-58.072843,6.52,,
36334,,112.181015,47.920286,6.66,,
36340,2858,112.19684,15.109724,6.23,,
36346,2888,112.214284,-64.509859,6.38,,
36351,,112.218888,46.314198,6.42,,
36363,2875,112.273557,-38.811959,5.41,,
36364,,112.274062,-18.8752,6.94,,
36366,2852,112.279192,31.785788,4.16,,北河一
36377,2878,112.3071,-43.300227,3.25,,弧矢增廿四
36388,2865,112.327713,-1.905386,5.6,,
36395,2868,112.339857,-15.000134,6.05,,
36396,2867,112.342064,-10.326681,5.75,,
36399,2866,112.357158,-7.550363,5.86,,
36411,,112.378209,19.633148,6.73,,
36425,2864,112.449106,12.006441,4.55,,水位一
36431,2874,112.464201,-23.024255,4.85,,
36474,,112.577234,-40.989331,6.55,,
36496,2892,112.628979,-54.399188,5.95,,
36499,,112.639955,5.254587,6.91,,
36514,2881,112.677419,-30.962275,4.65,,
36515,2882,112.676422,-37.339019,6.66,,
36526,2876,112.713018,-5.226514,6.24,,
36528,2830,112.719527,68.465345,5.63,,
36536,,112.736603,51.998606,6.79,,
36547,2742,112.768418,82.411198,4.92,,六甲四
36595,,112.900302,62.501668,7,,
36616,2877,112.951938,17.085565,5.45,,
36624,2872,112.981492,38.895919,6.56,,
36631,,112.996881,12.661051,6.51,,水位增十二
36634,,113.009004,61.757027,6.68,,
36640,2883,113.023416,-8.882396,5.9,,
36641,2880,113.024775,1.914477,5.24,,南河增五
36663,,113.143791,21.407517,6.81,,
36690,2879,113.210802,22.887506,6.54,,
36721,2900,113.290722,-24.710603,5.84,,
36723,2887,113.298509,3.290653,5.59,,南河增四
36732,2899,113.331683,-19.412974,5.64,,
36735,,113.340753,-68.768599,6.6,,
36740,,113.353451,37.187935,6.4,,
36745,,113.363798,-50.58422,6.69,,
36760,2886,113.401808,15.826581,5.27,,水位增二
36773,2902,113.449797,-14.52387,4.82,,
36778,2911,113.462611,-36.338365,5.42,,
36780,,113.467993,-28.567615,6.77,,
36795,2906,113.512977,-22.295768,4.44,,
36796,2893,113.520483,10.567979,6.28,,
36807,2913,113.553015,-33.463026,6.11,,
36809,,113.554292,-16.18692,6.72,,
36817,2909,113.576955,-23.473654,5.06,,
36837,2912,113.62004,-26.117043,6.64,,
36841,,113.631644,28.686579,6.66,,
36850,2891,113.647873,31.887329,1.58,Castor,北河二
36884,,113.747908,4.439501,6.82,,
36893,,113.780932,48.681166,6.97,,
36914,2979,113.840136,-74.274824,6.33,,
36922,,113.85495,7.579891,6.66,,
36942,2934,113.91576,-52.533912,4.93,,
36962,2905,113.980325,26.89505,4.06,,五诸侯四[井宿]
36965,2898,113.98301,43.030622,6.37,,
36977,2941,114.006519,-55.88764,6.39,,
36980,,114.014927,-57.295465,6.64,,
36992,,114.057793,-44.957739,6.9,,
37023,2903,114.131546,46.180077,5.66,,
37043,2940,114.182922,-48.830163,5.69,,
37046,2894,114.195859,55.75481,5.93,,
37065,,114.250056,-21.393713,6.69,,
37072,,114.272985,20.156056,6.73,,
37088,2927,114.319116,-4.110866,5.14,,阙丘增六
37091,2915,114.324014,40.025069,6.34,,
37096,2937,114.342018,-34.968424,4.53,,
37107,,114.376941,18.917252,6.85,,
37111,,114.385158,60.538651,7,,
37122,,114.423331,1.928383,6.89,,
37138,,114.464804,-6.958033,6.97,,
37173,2944,114.575173,-25.364847,4.69,,
37174,2957,114.575829,-48.601403,5.68,,
37179,,114.586348,33.186622,6.84,,
37184,2952,114.59996,-39.991946,6.61,,
37196,,114.620218,66.235001,6.95,,
37229,2948,114.707672,-26.803689,3.8,,弧矢六
37243,,114.73655,-0.260493,6.76,,
37265,2930,114.791096,34.583591,4.89,Jishui,北河增二
37269,2931,114.800016,24.22253,6.18,,
37271,,114.80182,53.900083,6.66,,
37279,2943,114.820889,5.218383,0.4,Procyon,南河三
37289,,114.850819,-16.847389,6.4,,
37297,2961,114.863728,-38.307919,4.84,,弧矢增廿
37300,2938,114.869152,17.674527,5.04,,水位增三
37339,2936,114.975252,32.009473,6.16,,
37364,2960,115.05634,-19.660787,5.92,,
37365,,115.056599,41.163528,6.83,,
37369,2935,115.060889,38.344463,5.77,,
37372,,115.079071,-78.386898,6.64,,
37375,,115.087499,-11.752642,6.43,,
37379,2959,115.096692,-15.2641,4.98,,
37385,,115.10926,-30.0796,6.95,,
37391,2609,115.129546,87.020155,5.05,,勾陈增四
37394,2958,115.148151,-8.185617,6.01,,
37399,2972,115.180745,-27.945325,6.76,,
37406,2929,115.206098,57.082838,6.09,,
37415,2974,115.219144,-31.661147,6.6,,
37428,2951,115.243774,23.018443,5.93,,
37441,2939,115.301161,48.130697,5.58,,
37447,2970,115.311311,-9.551256,3.94,,阙丘增七
37478,2966,115.396469,3.62465,5.95,,
37504,3024,115.455974,-72.606004,3.93,,飞鱼六
37508,2965,115.465796,13.480294,5.79,,
37521,2967,115.513402,14.208434,5.55,,
37545,,115.580502,30.167791,6.69,,
37599,3012,115.721819,-58.229808,6.2,,
37603,,115.735274,-21.995484,6.82,,
37606,2998,115.7372,-45.176654,5.04,,
37609,2946,115.751284,58.710025,4.93,,内阶增三
37614,2982,115.772581,0.189251,6.17,,
37623,2994,115.799765,-36.049998,5.6,,
37635,,115.838875,-52.163053,6.69,,
37636,2978,115.842262,22.399576,6.25,,
37643,,115.873463,-54.24121,6.88,,
37664,3002,115.925809,-40.93484,5.12,,
37677,2996,115.951928,-28.954801,3.94,,弧矢增十九
37701,2969,116.01732,50.433615,5.31,,
37704,2983,116.028713,25.784024,5.3,,积薪增一
37705,2989,116.031691,2.405367,6.46,,
37718,,116.050993,-50.455813,6.64,,
37720,3038,116.05337,-69.821534,6.16,,
37740,2985,116.111741,24.397634,3.57,,积薪
37811,2991,116.288875,20.316037,6.53,,
37815,,116.301333,-4.454236,6.81,,
37819,3017,116.313641,-37.968547,3.62,,弧矢三
37823,3020,116.325102,-43.752583,6.02,,
37826,2990,116.324433,28.025905,1.16,Pollux,北河三
37853,3018,116.394224,-34.161355,5.36,,
37891,3015,116.486882,-14.563765,5.03,,弧矢增九
37901,3014,116.509435,-6.773105,5.49,,
37908,3003,116.530527,18.509714,4.89,,水位增四
37921,3008,116.567301,10.768095,5.25,,水位二
37932,,116.600031,-49.24078,6.95,,
37934,2977,116.613705,62.830132,6.5,,
37946,2999,116.66392,37.517474,5.15,,
37949,2975,116.667431,65.455793,5.93,,
37975,,116.751538,64.051697,6.78,,
37982,3032,116.773804,-39.330896,6.33,,
37995,3023,116.802259,-22.519444,5.9,,
38016,3013,116.876203,33.415515,5.14,,北河增三
38017,,116.875315,-81.596158,6.79,,
38031,3026,116.910518,-15.990665,6.31,,
38048,3029,116.98565,-12.19221,5.48,,弧矢增十
38062,,117.014241,5.409645,6.61,,
38070,3034,117.021467,-25.937138,4.4,,弧矢五
38106,3021,117.14008,23.140966,6.18,,积薪增二
38118,,117.173698,-31.617741,6.97,,
38152,3062,117.2779,-56.410293,5.57,,
38160,3070,117.303281,-60.282792,5.78,,
38164,3055,117.309524,-46.373146,4.1,,
38170,3045,117.323525,-24.85979,3.34,Azmidi,弧矢增十七
38183,3057,117.367457,-44.750973,6.32,,
38196,,117.384587,12.814132,6.42,,
38200,3052,117.397223,-33.288938,5.61,,
38210,3081,117.420774,-66.19598,5.78,,
38211,3044,117.42203,-17.229156,5.17,,弧矢增十二
38246,3051,117.523568,-19.523512,6.11,,
38249,,117.532434,60.342228,6.78,,
38253,3047,117.544072,-9.18344,5.6,,
38257,,117.556134,39.770607,6.83,,
38300,3050,117.697847,3.277064,6.17,,
38303,,117.712819,4.459823,6.49,,
38306,,117.722736,0.079591,6.38,,
38307,3054,117.730154,-11.128814,6.16,,
38317,,117.750713,31.613274,6.83,,
38319,3040,117.759688,33.233699,6.06,,
38325,3028,117.773348,54.12958,6.03,,
38370,3078,117.918107,-42.888151,6.05,,
38373,3059,117.924869,1.766844,5.12,,南河增六
38375,3068,117.928953,-21.17345,5.62,,
38382,3064,117.942477,-13.900232,5.16,,
38403,,118.015806,45.932705,6.5,,
38410,,118.034999,-3.054085,6.94,,
38414,3080,118.054192,-40.575753,3.71,,弧矢增廿三
38423,3079,118.063713,-34.703921,5.01,,
38438,3088,118.12386,-54.367114,5.7,,
38449,3039,118.151549,55.209174,6.36,,
38455,3084,118.160948,-38.862786,4.49,,弧矢增廿一
38474,3072,118.199279,-5.428441,5.76,,
38497,3085,118.264521,-36.363756,5.44,,
38500,3089,118.265067,-49.612951,4.63,,
38518,3090,118.32561,-48.102895,4.22,,
38525,,118.337781,28.051903,6.92,,
38538,3067,118.373981,26.765584,4.97,,五诸侯五[井宿]
38571,,118.455042,-26.262043,6.95,,
38584,,118.509137,-41.702871,6.85,,
38601,,118.555432,21.105148,6.84,,
38615,,118.606221,-28.1053,6.6,,
38639,3066,118.677446,47.564604,5.47,,上台增二
38656,3105,118.721337,-57.302603,5.62,,
38669,,118.758248,12.569458,6.97,,
38707,,118.871574,-19.047429,6.84,,
38712,3087,118.880931,8.862268,5.86,,
38718,,118.898307,-15.578987,7,,
38722,3086,118.916134,19.883715,5.38,,水位增五
38723,3083,118.919686,35.412516,6.23,,
38732,3101,118.944001,-43.845047,6.02,,
38748,,118.993957,-12.607663,6.57,,
38761,,119.026701,23.62369,6.81,,
38778,,119.064609,29.852107,6.81,,
38789,,119.090386,-20.463346,6.84,,
38794,3093,119.099566,4.48552,6.16,,
38800,3077,119.111177,56.504273,6.71,,
38827,3117,119.194342,-52.982252,3.46,,天社增一
38835,3102,119.214545,-22.880041,4.2,,弧矢增十五
38848,3095,119.247521,15.790016,5.8,,水位增九
38863,3139,119.30316,-63.296715,6.14,,
38870,3098,119.316834,1.127048,6.35,,
38872,3116,119.326656,-44.109816,5.08,,
38900,,119.415722,77.576278,6.87,,
38901,3113,119.417047,-30.334523,4.76,,弧矢四
38917,3121,119.465336,-45.57747,5.14,,
38945,3103,119.524486,7.213464,6.42,,
38957,3129,119.560085,-49.244868,4.47,,
38959,3094,119.56936,43.977406,6.36,,
38963,3133,119.588867,-51.448192,6.44,,
38972,,119.626392,2.935794,6.65,,
38987,,119.688205,5.623262,6.95,,
39041,3171,119.815534,-73.244299,6.33,,
39067,3115,119.895925,13.242063,6.05,,
39070,3153,119.906375,-60.586988,5.19,,
39079,3122,119.933614,-3.679595,4.93,,南河增十
39084,,119.941305,-47.303462,6.71,,
39095,3131,119.966822,-18.399452,4.61,,
39117,3075,120.048716,73.91768,5.37,,
39138,3159,120.083168,-63.567334,4.81,,
39157,,120.132618,29.204919,6.97,,
39177,3128,120.197041,17.308686,5.6,,水位增七
39180,3125,120.200483,19.816165,6.3,,
39184,3156,120.207791,-54.151222,5.87,,
39191,3124,120.232926,25.392878,5.87,,爟增二
39194,3127,120.253116,23.582913,6.34,,
39198,,120.26369,-6.41949,6.45,,
39211,3141,120.305982,-1.393092,4.69,,南河增九
39213,3136,120.307676,4.879942,5.65,,
39221,3106,120.336882,59.047607,5.78,,
39238,3161,120.38136,-55.454606,6.28,,
39251,3154,120.406345,-37.283687,5.9,,
39261,3109,120.426453,60.32421,6.02,,
39271,3144,120.461369,8.914146,6.22,,
39279,3130,120.479729,35.413025,6.34,,
39282,,120.487938,-27.214779,6.82,,
39311,3145,120.566226,2.335245,4.39,,南河增八
39313,,120.569122,60.99363,6.87,,
39326,3150,120.608245,-6.337207,6.34,,
39340,3112,120.628189,63.090218,6.09,,
39348,3119,120.648639,57.27325,6.48,,
39360,3162,120.686547,-41.309732,5.52,,
39406,,120.837945,-69.971511,6.76,,
39414,,120.860307,37.136568,6.9,,
39420,3166,120.873188,-42.948346,6.28,,
39424,3149,120.879295,27.794108,4.94,,爟增三
